posted,location,num_applicants,requirements
1 week ago,"London, England, United Kingdom",Over 100 people clicked apply,"{""What you bring:"": [""MS or PhD in Machine Learning, Biomedical Engineering, Computer Science, or a related field."", ""3-5+ years of experience applying machine learning to time-series or physiological data."", ""Strong foundation in signal processing and time-series modelling."", ""Proficiency in Python and ML frameworks such as PyTorch or TensorFlow."", ""Familiarity with FDA regulatory pathways for medical software."", ""Experience with MLOps practices and model versioning in compliant environments.""]}"
Reposted1 week ago,"London, England, United Kingdom",Over 100 people clicked apply,"{""What we're looking for:"": [""Education: Master's degree in Computer Science, Electrical Engineering, Statistics, Mathematics, or a related field. A PhD is a plus."", ""Principal Engineer: 6+ years of experience in anomaly detection, machine learning, or related technical fields."", ""Domain Expertise: Prior experience in anomaly detection applied to areas such as QA, gameplay analysis, computer vision or video stream analysis."", ""Proven experience with machine learning frameworks such as Python, NumPy, TensorFlow, or PyTorch."", ""Strong understanding of data analysis, signal processing, and statistical modeling."", ""Experience with video processing and understanding of game streaming technologies is a plus."", ""Problem-Solving Skills: Excellent analytical and problem-solving abilities."", ""Communication Skills: Strong ability to communicate complex technical issues effectively."", ""Interpersonal Skills: Excellent interpersonal skills with a collaborative mindset."", ""Passion for Gaming: An interest in gaming and improving the quality of player experiences.""]}"
Reposted4 weeks ago,"Maidenhead, England, United Kingdom",Over 100 applicants,"{""Experience:"": [""2+ years of experience in a data science or analytics role."", ""Proven experience in building machine learning models, statistical analysis, and predictive analytics."", ""Experience designing experiments or modeling approaches to solve business problems.""], ""Preferred Qualifications:"": [""Proficiency inPythonorR(R is an advantage)."", ""Experience withSQLand relational databases."", ""Familiarity withdata visualizationtools and techniques."", ""Experience withAWSis a plus."", ""Strong problem-solving and critical-thinking abilities."", ""Excellent communication and presentation skills."", ""Ability to manage multiple projects and prioritize tasks effectively.""]}"
1 month ago,"Cambridge, England, United Kingdom",Over 100 people clicked apply,"{""Profile and Skills:"": [""PhD or equivalent experience in a technical discipline (e.g., computer science, chemistry, physics, engineering)."", ""Strong background in machine learning, including experience with deep learning and/or generative models."", ""Proficiency with modern ML frameworks (e.g., PyTorch, TensorFlow, or JAX)."", ""Strong coding skills (e.g., Python, C++) and a collaborative mindset."", ""Familiarity with protein structure modelling, co-folding, or related structure-based methods, along with a working knowledge of organic chemistry would be desirable.""]}"
1 month ago,United Kingdom,Over 100 people clicked apply,"{""Requirements"": [""have a degree in mathematics, physics, computer science, data science or similar"", ""have 3 years' experience in a data science or product analytics role in a software development context"", ""are located within the time zones UTC-01:00 to UTC+03:00"", ""have expertise in advanced analytics using tools like Python and SQL"", ""have solid understanding of basic statistical concepts, such as correlation, confidence intervals, probability distributions, and regression"", ""have great written and verbal communication skills"", ""have a high level of self-organisation, proactivity, strategy, discipline, result orientation"", ""have a product mindset""], ""Consider applying if you:"": [""have a degree in mathematics, physics, computer science, data science or similar"", ""have 3 years' experience in a data science or product analytics role in a software development context"", ""are located within the time zones UTC-01:00 to UTC+03:00"", ""have expertise in advanced analytics using tools like Python and SQL"", ""have solid understanding of basic statistical concepts, such as correlation, confidence intervals, probability distributions, and regression"", ""have great written and verbal communication skills"", ""have a high level of self-organisation, proactivity, strategy, discipline, result orientation"", ""have a product mindset""]}"
1 week ago,"Cambridge, England, United Kingdom",Over 100 applicants,"{""Experience And Personal Attributes"": [""Proficiency with data analysis and statistical modelling technologies such as Python, SQL, and R"", ""Experience establishing and maintaining data platforms, data workbenches and data warehouses"", ""Experience instrumenting web applications for data collection. (Ruby on Rails and React ideal)"", ""Experience in creating clear and impactful visualisations to communicate insights"", ""A proactive approach to identifying opportunities and solving complex problems using data"", ""Experience with popular machine learning frameworks - for example scikit-learn, TensorFlow, and PyTorch"", ""Experience handling and analysing large and diverse datasets"", ""Empathy, a pragmatic attitude, and the ability to see the bigger picture"", ""A genuine interest in using data to improve learning outcomes and empower young people.""], ""You should have:"": [""Proficiency with data analysis and statistical modelling technologies such as Python, SQL, and R"", ""Experience establishing and maintaining data platforms, data workbenches and data warehouses"", ""Experience instrumenting web applications for data collection. (Ruby on Rails and React ideal)"", ""Experience in creating clear and impactful visualisations to communicate insights"", ""A proactive approach to identifying opportunities and solving complex problems using data"", ""Experience with popular machine learning frameworks - for example scikit-learn, TensorFlow, and PyTorch"", ""Experience handling and analysing large and diverse datasets"", ""Empathy, a pragmatic attitude, and the ability to see the bigger picture"", ""A genuine interest in using data to improve learning outcomes and empower young people.""]}"
4 weeks ago,"Bristol, England, United Kingdom",,{}
Reposted3 weeks ago,"London Area, United Kingdom",Over 100 people clicked apply,{}
Reposted1 week ago,United Kingdom,Over 100 people clicked apply,{}
Reposted1 day ago,United Kingdom,Over 100 applicants,"{""✅ Must have requirements:"": [""Strong proficiency in SQL and DBT"", ""At least intermediate proficiency in Python and Git"", ""Experience designing, building and maintaining data pipelines"", ""Familiarity with date warehousing architecture and implementation"", ""Visualisation experience, ideally with Tableau""], ""👍 Bonus points for:"": [""Experience with Fivetran and Snowflake"", ""Familiarity with cloud infrastructure (ideally AWS)"", ""Experience with Terraform and Docker""]}"
1 week ago,"Cambridge, England, United Kingdom",44 people clicked apply,"{""We would expect you to have:"": [""Advanced degree in biological sciences or other relevant field."", ""Proven track record of developing and applying complex analysis methods to support scientific interpretation of large cell-based screening data sets, including high content imaging and flow cytometry."", ""Experience in new technology and assay development."", ""Demonstrated ability to conduct collaborative research and extract insights from datasets using mathematical, statistical, and computational approaches."", ""Excellent mentorship and guidance skills."", ""Effective communication skills with a broad range of stakeholders.""], ""It would be advantageous for you to have:"": [""Understanding of drug discovery and experience with analysis of data sets from high to medium throughput cell-based screens."", ""Previous practical experience or strong knowledge of cell assay development and troubleshooting concepts."", ""Working knowledge of infectious diseases, neuroscience, and immunology.""]}"
2 months ago,"San Francisco, CA",Over 100 people clicked apply,"{""Skills"": [""Proficiency in Python, and familiarity with scientific computing libraries (e.g., NumPy, Matplotlib)."", ""Experience with brain or biomechanics simulation tools (e.g., MuJoCo, the Gymnasium API, Flybody, Flygym, Brian2)."", ""Knowledge of neuroscience, computational biology, or related fields. Background in Drosophila neuroscience would be ideal."", ""Strong ability to create polished and engaging visualizations."", ""PhD or equivalent qualifications in neuroscience or related field would be ideal, but is not required""]}"
2 weeks ago,"Cambridge, England, United Kingdom",Over 100 applicants,"{""What We’re Looking For:"": [""No need for visa sponsorship"", ""Authorized to work in United Kingdom""], ""Bonus Points For:"": [""No need for visa sponsorship"", ""Authorized to work in United Kingdom""]}"
3 months ago,"San Mateo, CA",Over 100 people clicked apply,{}
4 days ago,"London, England, United Kingdom",52 people clicked apply,"{""Requirements/Qualifications:"": [""Strong experience in Bayesian inference and probabilistic modeling: PGMs, HMMs, GPs, MCMC, variational methods, EM algorithms, etc"", ""Proficiency in Python (must) and familiarity with PyMC, NumPyro, TensorFlow Probability, or similar probabilistic programming tools"", ""Hands-on experience with classical ML and modern techniques, including deep learning, transformers, diffusion models, and ensemble methods"", ""Solid understanding of feature engineering, dimensionality reduction, model construction, validation, and calibration"", ""Experience with uncertainty quantification and performance estimation (e.g., cross-validation, bootstrapping, Bayesian credible intervals)"", ""Familiarity with database and data processing tools (e.g., SQL, MongoDB, Spark, Pandas)"", ""Ability to translate ambiguous business problems into structured, measurable, and data-driven approaches""], ""Preferred Qualifications"": [""M.Sc or PhD in Statistics, Electrical Engineering, Computer Science, Physics, or a related field"", ""Background in generative modeling, Bayesian deep learning, signal/image processing, or graph models"", ""Experience applying probabilistic models in real-world applications (e.g., recommendation systems, anomaly detection, personalized healthcare, etc.)"", ""Understanding of modern ML pipelines and MLOps (e.g., MLFlow, Weights & Biases).Experience with recent trends such as foundation models, causal inference, or RL with uncertainty"", ""Track record of publishing or presenting work (e.g., NeurIPS, ICML, AISTATS, etc.) is a plus""], ""What we are looking for:"": [""Curiosity-driven and research-oriented mindset, with a pragmatic approach to real-world constraints"", ""Strong problem-solving skills, especially under uncertainty"", ""Comfortable working independently and collaboratively across cross-functional teams"", ""Eagerness to stay up to date with the fast-moving AI ecosystem"", ""Excellent communication skills to articulate complex technical ideas to diverse audiences""]}"
